Vardas              Pavarde             Galutinis           
Vardas2894          Pavarde2894         1.80
Vardas8257          Pavarde8257         1.96
Vardas617           Pavarde617          2.01
Vardas270           Pavarde270          2.04
Vardas1084          Pavarde1084         2.07
Vardas3078          Pavarde3078         2.07
Vardas8635          Pavarde8635         2.07
Vardas5451          Pavarde5451         2.07
Vardas9763          Pavarde9763         2.09
Vardas1019          Pavarde1019         2.09
Vardas8176          Pavarde8176         2.12
Vardas2318          Pavarde2318         2.12
Vardas7400          Pavarde7400         2.15
Vardas2078          Pavarde2078         2.15
Vardas5316          Pavarde5316         2.15
Vardas5972          Pavarde5972         2.17
Vardas3305          Pavarde3305         2.17
Vardas2810          Pavarde2810         2.17
Vardas205           Pavarde205          2.17
Vardas3437          Pavarde3437         2.17
Vardas6589          Pavarde6589         2.17
Vardas5158          Pavarde5158         2.19
Vardas6016          Pavarde6016         2.20
Vardas8240          Pavarde8240         2.20
Vardas2261          Pavarde2261         2.20
Vardas5430          Pavarde5430         2.23
Vardas6726          Pavarde6726         2.23
Vardas6964          Pavarde6964         2.23
Vardas3163          Pavarde3163         2.23
Vardas1320          Pavarde1320         2.23
Vardas1158          Pavarde1158         2.25
Vardas5804          Pavarde5804         2.25
Vardas6233          Pavarde6233         2.25
Vardas6462          Pavarde6462         2.25
Vardas3079          Pavarde3079         2.25
Vardas5620          Pavarde5620         2.25
Vardas2868          Pavarde2868         2.28
Vardas7676          Pavarde7676         2.28
Vardas5051          Pavarde5051         2.28
Vardas131           Pavarde131          2.28
Vardas4753          Pavarde4753         2.28
Vardas5202          Pavarde5202         2.28
Vardas751           Pavarde751          2.28
Vardas1293          Pavarde1293         2.28
Vardas3144          Pavarde3144         2.31
Vardas9309          Pavarde9309         2.31
Vardas9598          Pavarde9598         2.31
Vardas963           Pavarde963          2.31
Vardas3327          Pavarde3327         2.31
Vardas7968          Pavarde7968         2.31
Vardas3903          Pavarde3903         2.31
Vardas2384          Pavarde2384         2.31
Vardas6039          Pavarde6039         2.31
Vardas9181          Pavarde9181         2.31
Vardas4093          Pavarde4093         2.31
Vardas4366          Pavarde4366         2.31
Vardas6277          Pavarde6277         2.31
Vardas3753          Pavarde3753         2.33
Vardas9964          Pavarde9964         2.33
Vardas1005          Pavarde1005         2.33
